,Year,Glob,Global mean sea level (CSIRO)
0,1880,-0.17,-192.35
1,1881,-0.08,-186.75
2,1882,-0.11,-203.55
3,1883,-0.17,-198.25
4,1884,-0.28,-177.35
5,1885,-0.33,-178.85
6,1886,-0.31,-181.25
7,1887,-0.36,-186.85
8,1888,-0.17,-184.75
9,1889,-0.1,-183.15
10,1890,-0.35,-181.15
11,1891,-0.22,-182.85
12,1892,-0.27,-179.65
13,1893,-0.31,-174.95
14,1894,-0.3,-184.65
15,1895,-0.22,-172.85
16,1896,-0.11,-180.45
17,1897,-0.11,-175.25
18,1898,-0.27,-165.85
19,1899,-0.17,-158.35
20,1900,-0.08,-163.75
21,1901,-0.15,-164.15
22,1902,-0.27,-159.55
23,1903,-0.37,-151.55
24,1904,-0.47,-161.85
25,1905,-0.26,-167.35
26,1906,-0.22,-160.55
27,1907,-0.38,-161.95
28,1908,-0.43,-164.45
29,1909,-0.48,-159.95
30,1910,-0.43,-160.05
31,1911,-0.44,-151.75
32,1912,-0.36,-154.85
33,1913,-0.34,-153.05
34,1914,-0.15,-146.75
35,1915,-0.14,-138.85
36,1916,-0.36,-140.75
37,1917,-0.46,-145.25
38,1918,-0.29,-146.85
39,1919,-0.28,-145.25
40,1920,-0.27,-143.95
41,1921,-0.19,-141.85
42,1922,-0.28,-142.75
43,1923,-0.26,-141.55
44,1924,-0.27,-148.85
45,1925,-0.22,-146.85
46,1926,-0.11,-140.35
47,1927,-0.22,-141.45
48,1928,-0.2,-145.35
49,1929,-0.36,-143.95
50,1930,-0.15,-139.95
51,1931,-0.09,-140.35
52,1932,-0.15,-134.65
53,1933,-0.28,-130.35
54,1934,-0.12,-135.75
55,1935,-0.2,-130.15
56,1936,-0.14,-134.05
57,1937,-0.03,-128.35
58,1938,0.0,-125.75
59,1939,-0.02,-120.55
60,1940,0.13,-125.85
61,1941,0.19,-113.65
62,1942,0.07,-113.65
63,1943,0.09,-113.65
64,1944,0.2,-120.05
65,1945,0.09,-117.25
66,1946,-0.07,-109.75
67,1947,-0.03,-106.65
68,1948,-0.1,-101.85
69,1949,-0.11,-103.15
70,1950,-0.17,-100.95
71,1951,-0.07,-91.45
72,1952,0.01,-94.05
73,1953,0.08,-89.65
74,1954,-0.13,-92.55
75,1955,-0.14,-91.65
76,1956,-0.19,-96.75
77,1957,0.05,-83.35
78,1958,0.06,-81.95
79,1959,0.03,-81.65
80,1960,-0.03,-77.95
81,1961,0.06,-71.75
82,1962,0.03,-76.95
83,1963,0.05,-78.55
84,1964,-0.2,-86.45
85,1965,-0.11,-75.25
86,1966,-0.06,-80.65
87,1967,-0.02,-79.25
88,1968,-0.08,-78.45
89,1969,0.05,-71.65
90,1970,0.03,-73.55
91,1971,-0.08,-68.35
92,1972,0.01,-59.25
93,1973,0.16,-65.25
94,1974,-0.07,-53.35
95,1975,-0.01,-54.95
96,1976,-0.1,-55.95
97,1977,0.18,-57.65
98,1978,0.07,-51.25
99,1979,0.16,-56.15
100,1980,0.26,-50.15
101,1981,0.32,-37.75
102,1982,0.14,-43.55
103,1983,0.31,-35.15
104,1984,0.16,-36.05
105,1985,0.12,-46.35
106,1986,0.18,-45.75
107,1987,0.32,-45.15
108,1988,0.39,-40.45
109,1989,0.27,-35.95
110,1990,0.45,-33.65
111,1991,0.4,-31.15
112,1992,0.22,-30.45
113,1993,0.23,-32.25
114,1994,0.31,-27.05
115,1995,0.45,-24.15
116,1996,0.33,-20.05
117,1997,0.46,-13.05
118,1998,0.61,-22.95
119,1999,0.38,-14.45
120,2000,0.39,-13.15
121,2001,0.54,-7.65
122,2002,0.63,-5.25
123,2003,0.62,3.95
124,2004,0.53,3.55
125,2005,0.67,3.65
126,2006,0.63,7.95
127,2007,0.66,9.85
128,2008,0.54,18.55
129,2009,0.65,24.35
130,2010,0.72,32.05
131,2011,0.61,33.65
132,2012,0.65,42.45
